OrderNo,StoreName,Cost,Location,Date,Status
5361484190,EverythingIn99,370.39,"Gopalpura,Jaipur",23 November 2023,True
5355329746,MakhanSinghDaDhaba,346,"Mansarovar,Jaipur",22 November 2023,True
5352804068,MakhanSinghDaDhaba,345.94,"Mansarovar,Jaipur",22 November 2023,False
5360291236,MakhanSinghDaDhaba,345.94,"Mansarovar,Jaipur",22 November 2023,False
5360911494,MakhanSinghDaDhaba,345.94,"Mansarovar,Jaipur",22 November 2023,False
5354225038,Domino'sPizza,616.44,"Entally,Kolkata",20 November 2023,True
5356343469,Domino'sPizza,616.44,"Entally,Kolkata",20 November 2023,False
5356569477,Domino'sPizza,616.44,"Entally,Kolkata",20 November 2023,False
5340687048,PizzaHut,261.26,"MaldaLocality,Malda",15 November 2023,True
5320940160,PizzaHut,265.26,"MaldaLocality,Malda",05 November 2023,True
5286942376,PizzaHut,278.71,"MaldaLocality,Malda",01 November 2023,True
5300923820,PizzaHut,278.71,"MaldaLocality,Malda",01 November 2023,False
5291433118,PizzaHut,262.26,"MaldaLocality,Malda",27 October 2023,True
5270566913,UtsabCaterer,207.36,"MaldaLocality,Malda",20 October 2023,False
5264337382,KFC,338.37,"MaldaLocality,Malda",17 October 2023,True
5242565233,PizzaHut,279.71,"MaldaLocality,Malda",11 October 2023,True
5221333374,PizzaHut,280.71,"MaldaLocality,Malda",29 September 2023,True
5188816236,PizzaHut,488.61,"MaldaLocality,Malda",17 September 2023,True
5169916135,PizzaHut,491.61,"MaldaLocality,Malda",15 September 2023,True
5184499208,PizzaHut,427.71,"MaldaLocality,Malda",15 September 2023,True
5179190348,PizzaHut,427.71,"MaldaLocality,Malda",15 September 2023,False
5159239398,PizzaHut,603.16,"MaldaLocality,Malda",13 September 2023,True
5179340293,PizzaHut,603.16,"MaldaLocality,Malda",13 September 2023,False
5171859876,PizzaHut,603.16,"MaldaLocality,Malda",13 September 2023,False
5169582668,SuperHajiBiryani,458.96,"MaldaLocality,Malda",09 September 2023,True
5165602468,SuperHajiBiryani,458.96,"MaldaLocality,Malda",09 September 2023,False
5145423477,PizzaHut,426.35,"MaldaLocality,Malda",08 September 2023,True
5142268355,Domino'sPizza,389.35,"MaldaLocality,Malda",01 September 2023,True
5123051234,Domino'sPizza,285.90,"Entally,Kolkata",29 August 2023,True
5139864399,ChicagoPizza,363.95,"ShobhaBazar,Kolkata",29 August 2023,True
5138665933,ChicagoPizza,363.95,"ShobhaBazar,Kolkata",29 August 2023,False
5129380123,PizzaHut,437.05,"LandranRoad,Chandigarh",28 August 2023,True
5125984124,LaPino'zPizza,309.15,"LandranRoad,Chandigarh",28 August 2023,False
5130756753,PizzaMexican,253,"GillcoValley,Chandigarh",26 August 2023,True
5130150733,"KataniDhaba,Sweets&Snacks",228.50,"KhararRoad,Chandigarh",25 August 2023,True
5114831330,PizzaHut,413.05,"LandranRoad,Chandigarh",19 August 2023,True
5103994536,Mumma'sKitchen,388.95,"TDICity,Chandigarh",17 August 2023,True
5105007033,PizzaMexican,249,"GillcoValley,Chandigarh",16 August 2023,True
5106361313,"KataniDhaba,Sweets&Snacks",226.50,"KhararRoad,Chandigarh",15 August 2023,True
5102197779,O'ChickenIndia-OilFreeHealthyChicken,264.95,"LandranRoad,Chandigarh",15 August 2023,True
5106586055,O'ChickenIndia-OilFreeHealthyChicken,417.45,"LandranRoad,Chandigarh",15 August 2023,False
5090382257,PizzaMexican,243,"GillcoValley,Chandigarh",15 August 2023,True
5096220325,BiryaniBadshah,427.95,"Phase5,Chandigarh",13 August 2023,True
5095155772,PizzaMexican,243,"GillcoValley,Chandigarh",13 August 2023,True
5092864687,PizzaMexican,243,"GillcoValley,Chandigarh",12 August 2023,True
5093634080,"KataniDhaba,Sweets&Snacks",226.50,"KhararRoad,Chandigarh",11 August 2023,True
5087783906,Begum'sKitchen,389,"TDICity,Chandigarh",08 August 2023,True
5080626512,BikkganeBiryani,438.45,"Phase5,Chandigarh",06 August 2023,True
5079471577,TheGrandKitchen,678.90,"LandranRoad,Chandigarh",05 August 2023,True
